GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US170310101001,170310101001,"Block Group 1, Census Tract 101, Cook County, Illinois",594,230
1500000US170310101002,170310101002,"Block Group 2, Census Tract 101, Cook County, Illinois",2170,506
1500000US170310101003,170310101003,"Block Group 3, Census Tract 101, Cook County, Illinois",1680,323
1500000US170310102011,170310102011,"Block Group 1, Census Tract 102.01, Cook County, Illinois",1439,340
1500000US170310102012,170310102012,"Block Group 2, Census Tract 102.01, Cook County, Illinois",4820,784
1500000US170310102013,170310102013,"Block Group 3, Census Tract 102.01, Cook County, Illinois",938,363
1500000US170310102021,170310102021,"Block Group 1, Census Tract 102.02, Cook County, Illinois",1268,258
1500000US170310102022,170310102022,"Block Group 2, Census Tract 102.02, Cook County, Illinois",1219,237
1500000US170310103001,170310103001,"Block Group 1, Census Tract 103, Cook County, Illinois",1098,283
1500000US170310103002,170310103002,"Block Group 2, Census Tract 103, Cook County, Illinois",2185,424
1500000US170310103003,170310103003,"Block Group 3, Census Tract 103, Cook County, Illinois",1273,289
1500000US170310103004,170310103004,"Block Group 4, Census Tract 103, Cook County, Illinois",1857,463
1500000US170310104001,170310104001,"Block Group 1, Census Tract 104, Cook County, Illinois",1809,472
1500000US170310104002,170310104002,"Block Group 2, Census Tract 104, Cook County, Illinois",972,377
1500000US170310104003,170310104003,"Block Group 3, Census Tract 104, Cook County, Illinois",2630,394
1500000US170310105011,170310105011,"Block Group 1, Census Tract 105.01, Cook County, Illinois",1033,342
1500000US170310105012,170310105012,"Block Group 2, Census Tract 105.01, Cook County, Illinois",2036,380
1500000US170310105013,170310105013,"Block Group 3, Census Tract 105.01, Cook County, Illinois",1012,206
1500000US170310105021,170310105021,"Block Group 1, Census Tract 105.02, Cook County, Illinois",944,226
1500000US170310105022,170310105022,"Block Group 2, Census Tract 105.02, Cook County, Illinois",1687,245
1500000US170310105031,170310105031,"Block Group 1, Census Tract 105.03, Cook County, Illinois",1388,325
1500000US170310105032,170310105032,"Block Group 2, Census Tract 105.03, Cook County, Illinois",659,214
1500000US170310106001,170310106001,"Block Group 1, Census Tract 106, Cook County, Illinois",2172,548
1500000US170310106002,170310106002,"Block Group 2, Census Tract 106, Cook County, Illinois",502,207
1500000US170310106003,170310106003,"Block Group 3, Census Tract 106, Cook County, Illinois",2493,583
1500000US170310106004,170310106004,"Block Group 4, Census Tract 106, Cook County, Illinois",1348,369
1500000US170310107011,170310107011,"Block Group 1, Census Tract 107.01, Cook County, Illinois",1818,373
1500000US170310107012,170310107012,"Block Group 2, Census Tract 107.01, Cook County, Illinois",2015,355
1500000US170310107021,170310107021,"Block Group 1, Census Tract 107.02, Cook County, Illinois",2058,492
1500000US170310107022,170310107022,"Block Group 2, Census Tract 107.02, Cook County, Illinois",1060,413
1500000US170310107023,170310107023,"Block Group 3, Census Tract 107.02, Cook County, Illinois",1217,292
1500000US170310107024,170310107024,"Block Group 4, Census Tract 107.02, Cook County, Illinois",998,374
1500000US170310201001,170310201001,"Block Group 1, Census Tract 201, Cook County, Illinois",2716,502
1500000US170310201002,170310201002,"Block Group 2, Census Tract 201, Cook County, Illinois",1492,365
1500000US170310202001,170310202001,"Block Group 1, Census Tract 202, Cook County, Illinois",1628,450
1500000US170310202002,170310202002,"Block Group 2, Census Tract 202, Cook County, Illinois",2083,645
1500000US170310202003,170310202003,"Block Group 3, Census Tract 202, Cook County, Illinois",1741,503
1500000US170310202004,170310202004,"Block Group 4, Census Tract 202, Cook County, Illinois",1453,500
1500000US170310203011,170310203011,"Block Group 1, Census Tract 203.01, Cook County, Illinois",1721,222
1500000US170310203012,170310203012,"Block Group 2, Census Tract 203.01, Cook County, Illinois",1476,273
1500000US170310203013,170310203013,"Block Group 3, Census Tract 203.01, Cook County, Illinois",2098,400
1500000US170310203021,170310203021,"Block Group 1, Census Tract 203.02, Cook County, Illinois",819,258
1500000US170310203022,170310203022,"Block Group 2, Census Tract 203.02, Cook County, Illinois",1235,357
1500000US170310203023,170310203023,"Block Group 3, Census Tract 203.02, Cook County, Illinois",2969,530
1500000US170310204001,170310204001,"Block Group 1, Census Tract 204, Cook County, Illinois",787,206
